# Fri Jul 23 20:32:54 +0900 2010
FE7E8,E661
FE7E9,E662
FE7EA,E6A3
FE7EB,E71D
FE7EC,[駅]
FE7ED,[ロケット]
FE7EE,E6A3
FE7EF,E65E
FE7F0,E733
FE7F1,[トラック]
FE7F2,[消防車]
FE7F3,[救急車]
FE7F4,[パトカー]
FE7F5,E66B
FE7F6,E66C
FE7F7,E66D
FE7F8,[工事中]
FE7F9,[パトカー]
FE7FA,E6F7
FE7FB,[キャンプ]
FE7FC,E679
FE7FD,[観覧車]
FE7FE,[ジェットコースター]
FE7FF,E751
FE800,E676
FE801,E677
FE802,E677
FE803,E67A
FE804,E67B
FE805,E67C
FE806,E67D
FE807,E67E
FE808,E6AC
FE809,[演劇]
FE80A,E68B
FE80B,[麻雀]
FE80C,[的中]
FE80D,[777]
FE80E,[ビリヤード]
FE80F,[サイコロ]
FE810,[ボーリング]
FE811,[花札]
FE812,[ジョーカー]
FE813,E6F6
FE814,E6FF
FE815,[サックス]
FE816,[ギター]
FE817,[ピアノ]
FE818,[トランペット]
FE819,[バイオリン]
FE81A,E6FF
FE81B,[歌記号]
FE81C,E68A
FE81D,E68C
FE81E,E68C
FE81F,[ラジオ]
FE820,[ビデオ]
FE821,[スピーカ]
FE822,[新聞]
FE823,E6F9
FE824,E717
FE825,E71B
FE826,E71B
FE827,E6F9
FE828,[花束]
FE829,E6ED
FE82A,[結婚式]
FE82B,E6DF
FE82C,E6E0
FE82D,E6E1
FE82E,E6E2
FE82F,E6E3
FE830,E6E4
FE831,E6E5
FE832,E6E6
FE833,E6E7
FE834,E6E8
FE835,E6E9
FE836,E6EA
FE837,E6EB
FE838,[バリ3]
FE839,[マナーモード]
FE83A,[ケータイOFF]
FE83B,[10]
FE83C,[PDC]
FE960,E673
FE961,E749
FE962,E74A
FE963,E74C
FE964,E74D
FE965,[フライパン]
FE966,[ソフトクリーム]
FE967,[ポテト]
FE968,[だんご]
FE969,[せんべい]
FE96A,E74C
FE96B,[パスタ]
FE96C,[カレー]
FE96D,[おでん]
FE96E,[すし]
FE96F,[弁当]
FE970,[鍋]
FE971,[カキ氷]
FE972,[肉]
FE973,E643
FE974,[やきいも]
FE975,[ピザ]
FE976,[チキン]
FE977,[アイスクリーム]
FE978,[ドーナツ]
FE979,[クッキー]
FE97A,[チョコ]
FE97B,[キャンディ]
FE97C,[キャンディ]
FE97D,[プリン]
FE97E,[ハチミツ]
FE97F,[エビフライ]
FE980,E66F
FE981,E670
FE982,E671
FE983,E672
FE984,E71E
FE985,E74B
FE986,E756
FE987,E672
FE988,E671
FEAF0,E678
FEAF1,E696
FEAF2,E697
FEAF3,E6A5
FEAF4,E6F5
FEAF5,E700
FEAF6,E73C
FEAF7,E73D
FEAF8,[↑]
FEAF9,[↓]
FEAFA,[→]
FEAFB,[←]
FEAFC,[>]
FEAFD,[<]
FEAFE,[>>]
FEAFF,[<<]
FEB00,▼
FEB01,▲
FEB02,▼
FEB03,▲
FEB04,E702
FEB05,E703
FEB06,E704
FEB07,E709
FEB08,E70A
FEB09,[？]
FEB0A,[？]
FEB0B,E702
FEB0C,E6EC
FEB0D,E6ED
FEB0E,E6EE
FEB0F,E6EF
FEB10,E6EC
FEB11,E6ED
FEB12,E6EC
FEB13,E6EC
FEB14,E6EC
FEB15,E6EC
FEB16,E6EC
FEB17,E6EC
FEB18,E6ED
FEB19,E6F8
FEB1A,E68D
FEB1B,E68E
FEB1C,E68F
FEB1D,E690
FEB1E,E67F
FEB1F,E680
FEB20,E69B
FEB21,E6D7
FEB22,E6DE
FEB23,E737
FEB24,[ココ]
FEB25,[18禁]
FEB26,E72F
FEB27,E70B
FEB28,E72F
FEB29,E731
FEB2A,E732
FEB2B,E734
FEB2C,E735
FEB2D,E736
FEB2E,E738
FEB2F,E739
FEB30,E73A
FEB31,E73B
FEB32,[VS]
FEB33,[♂]
FEB34,[♀]
FEB35,[赤ちゃん]
FEB36,E6DD
FEB37,[UP!]
FEB38,[COOL]
FEB39,[有]
FEB3A,[無]
FEB3B,[月]
FEB3C,[申]
FEB3D,[得]
FEB3E,[割]
FEB3F,[サービス]
FEB40,[指]
FEB41,[営]
FEB42,[TOP]
FEB43,[祝]
FEB44,E6A0
FEB45,[×]
FEB46,[×]
FEB47,[ｉ]
FEB48,E738
FEB49,[チェックマーク]
FEB4A,[チェックマーク]
FEB4B,[リンク]
FEB4F,[SOS]
FEB50,[可]
FEB51,[＋]
FEB52,[－]
FEB53,[×]
FEB54,[÷]
FEB55,E6F8
FEB56,E6FB
FEB57,E6FC
FEB58,E6FE
FEB59,E701
FEB5A,E705
FEB5B,E706
FEB5C,E707
FEB5D,E708
FEB5E,[力こぶ]
FEB5F,[クラクラ]
FEB60,E6FA
FEB61,E6F8
FEB62,E6F8
FEB63,E69C
FEB64,E69C
FEB65,E69C
FEB66,E69C
FEB67,E69C
FEB68,[☆]
FEB69,[☆]
FEB6A,☆彡
FEB6B,■
FEB6C,■
FEB6D,■
FEB6E,■
FEB6F,■
FEB70,■
FEB71,■
FEB72,■
FEB73,◆
FEB74,◆
FEB75,◆
FEB76,◆
FEB77,E6FA
FEB78,▲
FEB79,▼
FEB7A,[花丸]
FEB7B,[100点]
FEB7C,[ABCD]
FEB7D,[abcd]
FEB7E,[1234]
FEB7F,[記号]
FEB80,[ABC]
FEB81,E6D8
FEB82,E6D9
FEB83,E6DA
FEB84,E6DB
FEB85,E6DC
FEB86,E6D9
FEB87,E6D9
FEB88,└→
FEB89,[オープンウェブ]
FEB8A,E6D9
FEB8B,[チェックマーク]
FEB8C,[ラジオボタン]
FEB8D,E6DC
FEB8E,[←BACK]
FEB8F,[ブックマーク]
FEB90,E6D9
FEB91,E735
FEB92,E6D3
FEB93,E693
FEB94,E694
FEB95,E695
FEB96,E6FD
FEB97,E727
FEB98,[人差し指]
FEB99,[↑]
FEB9A,[↓]
FEB9B,[←]
FEB9C,[→]
FEB9D,E695
FEB9E,[拍手]
FEB9F,E70B
FEBA0,E700
FEBA1,E695
FEBA2,[ロックオン]
FEE10,E6D1
FEE11,E6D2
FEE12,E6D4
FEE13,E6D5
FEE14,E70C
FEE15,E70D
FEE16,E6A6
FEE17,E6A7
FEE18,E6A8
FEE19,E6A9
FEE1A,E6AA
FEE1B,E6AB
FEE1C,E6AF
FEE1D,E6B0
FEE1E,E6B4
FEE1F,E6B5
FEE20,E6B6
FEE21,E6BB
FEE22,E6BC
FEE23,E6BD
FEE24,E6BE
FEE25,E6BF
FEE26,E6C0
FEE27,E6C1
FEE28,E6C2
FEE29,E6C3
FEE2A,E6C4
FEE2B,E6C5
FEE2C,E6C6
FEE2D,E6C7
FEE2E,E6C8
FEE2F,E6C9
FEE30,E6CA
FEE31,E6CB
FEE32,E6CC
FEE33,E6CD
FEE40,[EZ]
FEE41,[ezplus]
FEE42,[EZナビ]
FEE43,[EZムービー]
FEE44,[Cメール]
FEE45,[Java]
FEE46,[BREW]
FEE47,[EZ着うた]
FEE48,[EZナビ]
FEE49,[WIN]
FEE4A,[プレミアム]
FEE74,[v
FEE75,oda
FEE76,fone]
FEEA0,[Google]
